ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.298;Line;Double stroke;Engraved;;Yes;1;Overlapping without consideration;4;Lower Magdalenian ;4
PM.I.299;Zoomorph;Cervid;Engraved;;Yes;1;Overlapping without consideration;4;Lower Magdalenian ;4
PM.I.300;Zoomorph;Horse;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.301;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.302;Line;Curved;Paint;;Yes;1;Overlapping without consideration;3&4;Gravetto-solutrean ;3
PM.I.303;Line;Streak;Engraved;;Yes;1;Overlapping without consideration;3&4;Lower Magdalenian ;4
PM.I.304;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.305;Non figurative;Stain;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.306;Zoomorph;Horse;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.307;Non figurative;Stick;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.308;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.309;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.310;Zoomorph;Hind;Paint/Engraved;;Yes;1;Overlapping with assimilation;2&4;Gravetian ;2
PM.I.311;Sign;Triangle;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.312;Dot;Dot;Paint;Yes;;;;;Gravetian ;2
PM.I.313;Sign;Triangle;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.314;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.315;Sign;Triangle;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.316;Sign;Triangle;Paint;;Yes;1;Overlapping with integration;3;Gravetto-solutrean ;3
PM.I.317;Sign;Circle;Paint;;Yes;1;Overlapping with integration;3;Gravetto-solutrean ;3
PM.I.318;Sign;Triangle;Paint;;Yes;1;Overlapping with integration;3;Gravetto-solutrean ;3
PM.I.319;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.320;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.321;Line;Curved;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.322;Line;Curved;Paint;Yes;;;;;Gravetian ;2
PM.I.323;Dot;Dot;Paint;Yes;;;;;Gravetian ;2
PM.I.324;Line;Straight;Paint;;Yes;1;Overlapping without consideration;3&4;Gravetto-solutrean ;3
