ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.137;Line;Curved;Engraved;;Yes;2;Overlapping without consideration;2&4/4;Lower Magdalenian ;4
PM.I.138;Line;Curved;Engraved;;Yes;2;Overlapping without consideration;2&4/4;Lower Magdalenian ;4
PM.I.139;Line;Curved;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.140;Line;Curved;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.141;Line;Curved;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.142;Line;Curved;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.143;Line;Curved;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.144;Line;Curved;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.145;Line;Lines;Engraved;;Yes;1;Overlapping without consideration;2&4;Lower Magdalenian ;4
PM.I.146;Non figurative;Stain;Paint;;Yes;2;Overlapping without consideration;2&3/3&4;Gravetto-solutrean ;3
PM.I.147;Zoomorph;Deer;Engraved;;Yes;2;Overlapping without consideration;1&2/1&4;Lower Magdalenian ;4
PM.I.148;Zoomorph;Hind;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.149;Zoomorph;Deer;Engraved;;Yes;1;Overlapping without consideration;4;Lower Magdalenian ;4
PM.I.150;Non figurative;Stain;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.151;Zoomorph;Horse;Paint;Yes;;;;;Gravetian ;2
PM.I.152;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.153;Line;Straight;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.154;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.155;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.156;Line;Straight;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.157;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.158;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.159;Line;Straight;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.160;Line;Straight;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.161;Line;Straight;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.162;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.163;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.164;Line;Curved;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.165;Line;Straight;Paint;Yes;;;;;Gravetian ;2
PM.I.166;Zoomorph;Bison;Paint;;Yes;1;Overlapping without consideration;1&2;Gravetian ;2
PM.I.167;Non figurative;Stain;Paint;;Yes;1;Overlapping without consideration;2&3;Gravetto-solutrean ;3
PM.I.168;Dot;Dot;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.169;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1&2;Aurignacian-Gravettian ;1
PM.I.170;Line;Straight;Paint;;Yes;1;Overlapping without consideration;1&2;Gravetian ;2
PM.I.171;Dot;Dot;Paint;Yes;;;;;Gravetian ;2
